,ADM2_NAME,CDD_4D,Food_Sec,HD30_hist,HD30_proj,HH_start_year,HH_target_year,HREA_lightscore,MGDist,MGMVstatus,MGName,MGType,MV_linesDist,RelHum_hist,SHAPE_Area,SPEI12,TRXDist,VIIRS,adm1,adm2,area_m2,avg_temp,bld_count,country,cyclonHaz,dou_level1,dou_level2,elec_mode,elec_status,elevation,haz_sec,id,iso,liv_zone,pcode,pop_20km,pop_d_start_y,pop_d_target_y,pop_start_year,pop_target_year,population,precip_change,precip_hist,pvout,rwi,airport_dist,port_dist,railway_dist,cities_dist,capital_dist,shoreline_dist,ShoreWithin10km,InlandWaterDist_km,water_occur_area_m2,Water_Occur_Bin,Water_Occur_Clas,Crop%,Cropland_ha,No_crop_ha,Vor_area_ha,Vor_area_sq.km,cassavaharvsum,cassavaphysareasum,cassavaprodsum,maizeharvsum,maizephysareasum,maizeprodsum,riceharvsum,ricephysareasum,riceprodsum,sorghumharvsum,sorghumphysareasum,sorghumprodsum,uniqueID,cattlesum,chickensum,duckssum,goatssum,pigssum,sheepsum,horsessum,buffaloessum,milk_prod
32,Mopeia,7519.0,,192.35,242.1,47.29,78.74,0.18,39.17,LV,MC de Pinda,Solar,16.28,67.65,0.0,-0.22,121.36,0.23,Zambezia,Mopeia,433831.92,24.6,101-250,Mozambique,85.26,Rural,Low Density Rural,un-electrified,un-electrified,226.0,1.0,498021,MOZ,-3,MZ1117000040,44756.1,545.0,907.47,236.44,393.69,236.44,85.76,784.84,4.34,-0.38,3.03,3.06,0.53,4.88,18.65,135.37,No,17.02,1.0,Yes,Low Occurrence,1.3,173.33,13154.11,13327.44,133.27,1624.9,5895.3,62247.5,1515.5,3045.4,3111.1,407.1,1886.9,652.9,298.4,861.1,662.5,1130,15.52,17525.68,1295.42,133.1,1109.56,70.22,0.06,1.04,70549.6
33,Mopeia,7628.5,,197.3,245.35,72.73,121.1,0.05,7.19,LV,MC da Ilha Idugo,Solar,105.29,71.63,0.0,-0.3,35.8,0.2,Zambezia,Mopeia,505042.81,24.9,101-250,Mozambique,104.27,Rural,Low Density Rural,un-electrified,un-electrified,21.43,1.0,498458,MOZ,-3,MZ1117400441,18677.5,720.05,1198.94,363.66,605.51,363.66,82.5,892.38,4.31,-0.47,2.39,2.42,2.39,6.84,20.61,48.38,No,27.97,35209.0,Yes,Medium Occurrence,0.48,49.36,10191.57,10240.93,102.41,,1199.1,10696.6,,328.2,283.4,,460.0,214.2,,179.9,125.6,147,8.48,11829.01,1020.32,131.57,868.89,14.35,0.09,0.69,48879.01
34,Mopeia,7701.5,,210.35,258.0,82.08,136.67,0.14,35.59,LV,MC de Nhamassonge,Solar,43.59,68.63,0.0,-0.29,107.8,0.22,Zambezia,Mopeia,505615.88,25.1,101-250,Mozambique,95.61,Rural,Low Density Rural,un-electrified,un-electrified,20.29,1.0,498680,MOZ,-3,MZ1117000056,58109.64,811.69,1351.53,410.41,683.36,410.41,84.3,722.35,4.38,-0.16,3.36,2.25,1.09,5.63,19.4,92.61,No,2.26,2215947.0,Yes,Medium Occurrence,14.29,1071.96,6429.96,7501.92,75.02,1146.0,5242.3,37609.5,1397.3,1128.8,1203.2,601.6,3131.1,1483.3,148.7,805.9,551.7,929,92.12,21262.27,1719.79,718.54,1376.73,64.26,0.31,1.39,354990.65
35,Mopeia,7829.25,,202.3,252.5,30.33,50.5,0.02,58.79,LV,MC de Nhamassonge,Solar,16.14,67.71,0.0,-0.26,125.09,0.21,Zambezia,Mopeia,134450.58,25.45,101-250,Mozambique,88.38,Rural,Low Density Rural,un-electrified,un-electrified,33.0,1.0,499067,MOZ,-3,MZ1117000002,48926.29,1127.81,1877.89,151.63,252.48,151.63,85.31,723.89,4.39,-0.43,3.25,2.98,0.53,4.89,18.66,119.81,No,2.52,2226411.0,Yes,High Occurrence,3.03,167.67,5358.38,5526.05,55.26,574.4,715.1,3325.0,677.8,473.4,576.0,238.0,379.1,185.8,96.6,209.9,177.0,984,27.38,9161.46,1013.36,523.87,719.65,39.35,0.2,0.38,177833.38
36,Mopeia,7628.5,,197.3,245.35,47.31,78.78,0.08,19.33,LV,MC de Nguawala,Solar,119.98,71.63,0.0,-0.3,22.3,0.21,Zambezia,Mopeia,367193.73,24.9,101-250,Mozambique,104.27,Rural,Low Density Rural,un-electrified,un-electrified,15.5,1.0,499247,MOZ,-3,MZ1117000118,27862.41,644.26,1072.74,236.57,393.9,236.57,82.5,892.38,4.31,-0.61,2.9,2.93,2.9,7.35,21.12,36.34,No,13.12,827.0,Yes,Low Occurrence,0.37,9.4,2534.34,2543.74,25.44,35.7,691.5,6157.3,11.0,124.7,129.2,35.5,282.1,131.5,3.4,86.0,59.0,1533,12.87,4458.79,390.25,48.8,368.59,6.05,0.04,0.25,37663.69
37,Mopeia,7619.38,,197.3,245.35,46.59,77.57,,17.9,LV,MC de Nguawala,Solar,114.97,71.63,0.0,-0.3,23.22,0.2,Zambezia,Mopeia,449387.11,24.88,101-250,Mozambique,104.27,Rural,Low Density Rural,un-electrified,un-electrified,30.75,1.0,499539,MOZ,-3,MZ1117000130,29538.99,518.34,863.07,232.93,387.85,232.93,82.5,892.38,4.31,-0.44,2.73,2.76,2.73,7.84,21.61,42.66,No,16.03,429.0,Yes,Low Occurrence,0.11,1.72,1607.09,1608.82,16.09,35.7,,,11.0,,,35.5,,,3.4,,,4599,12.51,4477.78,407.78,42.48,318.39,5.25,0.03,0.2,35378.34
38,Mopeia,7655.88,,197.3,245.35,97.67,162.63,0.06,14.59,LV,MC da Ilha Idugo,Solar,113.97,71.63,0.0,-0.3,31.41,0.2,Zambezia,Mopeia,752736.01,24.98,101-250,Mozambique,104.27,Rural,Low Density Rural,un-electrified,un-electrified,13.0,1.0,499911,MOZ,-3,MZ1117000111,17797.19,648.76,1080.24,488.35,813.13,488.35,82.5,892.38,4.33,-0.28,2.67,2.7,2.68,7.12,20.89,39.45,No,22.16,11957.0,Yes,Medium Occurrence,0.24,10.97,4609.66,4620.62,46.21,,1890.6,16853.9,,452.9,412.6,,742.1,345.7,,265.9,184.6,369,5.2,7601.47,621.95,86.76,597.66,9.75,0.06,0.49,31511.93
39,Mopeia,7665.0,,197.3,245.35,35.86,59.7,,16.22,LV,MC da Ilha Idugo,Solar,115.73,71.63,0.0,-0.3,31.15,0.21,Zambezia,Mopeia,228936.77,25.0,101-250,Mozambique,104.27,Rural,Low Density Rural,un-electrified,un-electrified,12.0,1.0,500055,MOZ,-3,MZ1117000107,17521.03,783.13,1303.96,179.29,298.52,179.29,82.5,892.38,4.34,-0.26,2.87,2.9,2.88,7.33,21.09,37.55,No,21.57,8515.0,Yes,Medium Occurrence,0.14,20.12,14628.9,14649.02,146.49,,4665.6,29880.2,,886.5,704.9,,1996.2,932.6,,669.4,466.9,691,66.83,16859.65,1410.06,265.79,1415.03,32.49,0.14,1.22,198430.06
40,Mopeia,7689.33,,197.15,244.73,131.49,218.95,0.04,13.57,LV,MC da Ilha Idugo,Solar,111.64,71.72,0.0,-0.31,40.47,0.19,Zambezia,Mopeia,1043507.46,25.07,251-1000,Mozambique,104.27,Rural,Low Density Rural,un-electrified,un-electrified,8.78,1.0,500076,MOZ,-3,MZ1117000103,12460.56,630.05,1049.08,657.46,1094.73,657.46,81.92,885.96,4.36,-0.23,3.48,3.51,3.49,7.93,21.7,40.99,No,22.9,10568.0,Yes,Medium Occurrence,0.01,9.51,71312.84,71322.35,713.22,39.2,6671.1,25613.4,9.5,2028.9,1396.4,59.4,2820.8,1321.8,5.8,1209.2,862.1,180,278.14,39942.64,3483.21,682.59,3384.28,82.22,0.31,3.19,722533.68
41,Mopeia,7628.5,,199.1,247.65,267.36,445.18,0.03,15.48,LV,MC da Ilha Idugo,Solar,88.79,70.65,0.0,-0.29,47.13,0.2,Zambezia,Mopeia,2005383.56,24.9,251-1000,Mozambique,100.46,Rural,Rural,un-electrified,un-electrified,34.0,1.0,500078,MOZ,-3,MZ1117000128,15004.89,666.61,1109.95,1336.81,2225.89,1336.81,83.3,852.52,4.32,-0.55,2.05,2.08,2.0,6.36,20.13,66.3,No,33.88,40941.0,Yes,Medium Occurrence,0.1,55.73,55549.73,55605.46,556.05,,,,,,,,,,,,,224,26.99,25134.09,2503.02,472.82,1566.39,34.76,0.15,1.23,165621.7
42,Mopeia,7628.5,,197.3,245.35,85.77,142.81,0.17,18.48,LV,MC de Nguawala,Solar,122.23,71.63,0.0,-0.3,20.67,0.21,Zambezia,Mopeia,711626.32,24.9,101-250,Mozambique,104.27,Rural,Low Density Rural,un-electrified,un-electrified,13.0,1.0,500087,MOZ,-3,MZ1117000121,27250.77,602.63,1003.42,428.84,714.06,428.84,82.5,892.38,4.32,-0.44,2.97,3.0,2.98,7.42,21.19,34.6,No,11.12,678.0,Yes,Low Occurrence,1.04,56.52,5353.4,5409.92,54.1,35.7,2336.1,16107.7,11.0,420.2,331.3,35.5,981.0,458.5,3.4,316.9,220.6,571,52.38,8718.77,757.68,132.69,775.06,16.73,0.08,0.58,137152.77
43,Mopeia,7655.88,,190.4,241.3,66.02,109.93,0.13,53.14,LV,MC de Nhamassonge,Solar,32.15,68.74,0.0,-0.25,106.38,0.22,Zambezia,Mopeia,399356.36,24.98,101-250,Mozambique,92.55,Rural,Low Density Rural,un-electrified,un-electrified,76.0,1.0,500623,MOZ,-3,MZ1117000079,40888.17,826.6,1376.35,330.11,549.65,330.11,84.94,817.88,4.32,-0.61,3.08,2.84,1.4,5.76,19.53,107.75,No,14.01,1621.0,Yes,Low Occurrence,0.58,117.35,19968.0,20085.35,200.85,937.0,803.9,7938.5,729.6,216.3,212.8,241.4,285.3,90.0,76.8,102.9,65.6,78,16.24,15494.2,1329.0,220.34,875.01,18.67,0.07,0.75,84951.95
44,Mopeia,7619.38,,190.4,241.3,49.93,83.14,0.24,49.06,LV,MC de Pinda,Solar,28.37,68.74,0.0,-0.25,106.8,0.21,Zambezia,Mopeia,357307.01,24.88,101-250,Mozambique,92.55,Rural,Low Density Rural,un-electrified,un-electrified,113.5,1.0,504002,MOZ,-3,MZ1117000089,32317.48,698.72,1163.42,249.66,415.7,249.66,84.94,817.88,4.32,-0.39,2.44,2.47,0.55,4.91,18.67,123.85,No,27.55,0.0,No,No Occurrence,0.75,67.64,8929.55,8997.19,89.97,1167.3,3699.1,36219.9,1094.8,2314.7,2270.4,296.5,1039.1,346.3,209.0,491.8,339.8,845,12.15,12662.19,1052.26,140.26,774.13,33.99,0.05,0.68,60620.21
45,Mopeia,7695.42,,192.35,242.1,93.83,156.23,1.0,45.86,LV,MC de Pinda,Solar,12.47,67.65,0.0,-0.22,122.37,0.23,Zambezia,Mopeia,728666.33,25.08,251-1000,Mozambique,88.38,Rural,Low Density Rural,un-electrified,un-electrified,150.5,1.0,504008,MOZ,-3,MZ1117000024,58840.09,643.83,1072.02,469.14,781.14,469.14,85.76,784.84,4.33,-0.25,2.65,2.68,0.33,4.69,18.46,130.33,No,12.33,51.0,Yes,Low Occurrence,2.61,123.73,4609.11,4732.84,47.33,645.4,2568.8,26572.5,659.7,873.1,1039.8,167.6,953.8,404.4,141.0,441.6,355.9,1800,5.54,9189.08,726.8,131.25,591.96,11.93,0.03,0.55,42508.36
46,Mopeia,7409.5,,186.9,236.4,126.29,210.29,0.17,32.73,LV,MC de Lua Lua,Solar,66.11,68.92,0.0,-0.23,70.72,0.21,Zambezia,Mopeia,1043045.02,24.3,251-1000,Mozambique,93.22,Rural,Low Density Rural,un-electrified,un-electrified,140.3,1.0,504184,MOZ,-3,MZ1117000097,16153.08,605.41,1008.06,631.47,1051.45,631.47,84.96,836.43,4.34,-0.26,1.91,1.94,1.04,5.4,19.17,96.61,No,54.77,0.0,No,No Occurrence,0.05,29.19,64760.88,64790.07,647.9,1057.2,,,711.4,,,338.6,,,64.6,,,7,36.8,27820.85,2608.4,495.81,1671.5,59.11,0.14,1.19,193432.99
47,Mopeia,7677.17,,210.35,258.0,102.96,171.44,0.03,47.12,LV,MC de Nhamassonge,Solar,33.54,68.63,0.0,-0.29,109.24,0.21,Zambezia,Mopeia,549898.54,25.03,251-1000,Mozambique,92.55,Rural,Low Density Rural,un-electrified,un-electrified,57.0,1.0,504963,MOZ,-3,MZ1117000068,46505.3,936.18,1558.8,514.8,857.18,514.8,84.3,722.35,4.34,-0.37,3.3,2.56,1.16,5.52,19.29,103.76,No,7.35,280901.0,Yes,Medium Occurrence,4.95,290.28,5577.4,5867.68,58.68,1123.6,2614.5,18438.9,883.5,281.7,341.5,295.9,1521.0,730.0,89.3,427.4,291.6,207,22.23,23425.02,1755.61,368.1,1328.14,25.32,0.12,1.46,131550.32
48,Mopeia,7540.9,,196.3,243.85,138.1,229.94,0.29,0.49,LV,MC de Lua Lua,Solar,98.55,70.03,0.0,-0.24,38.99,0.23,Zambezia,Mopeia,927309.22,24.66,251-1000,Mozambique,97.04,Rural,Rural,un-electrified,un-electrified,81.6,1.0,505503,MOZ,-3,MZ1117000145,28630.82,744.62,1239.84,690.49,1149.72,690.49,84.33,871.81,4.35,0.1,1.37,1.4,1.38,5.95,19.72,70.84,No,38.45,11178.0,Yes,Medium Occurrence,0.13,1.51,1140.66,1142.17,11.42,239.3,46.4,457.6,148.3,98.6,98.2,77.0,30.7,13.1,8.4,48.1,32.7,1342,3.95,4107.45,258.29,68.0,214.37,3.92,0.01,0.21,23843.17
49,Mopeia,7628.5,,197.3,245.35,79.86,132.98,0.13,18.73,LV,MC da Ilha Idugo,Solar,115.79,71.63,0.0,-0.3,24.66,0.2,Zambezia,Mopeia,657648.87,24.9,101-250,Mozambique,104.27,Rural,Low Density Rural,un-electrified,un-electrified,19.57,1.0,505504,MOZ,-3,MZ1117000123,25760.18,607.19,1011.02,399.32,664.9,399.32,82.5,892.38,4.31,-0.62,3.22,3.25,3.23,7.71,21.48,40.31,No,16.37,2237.0,Yes,Low Occurrence,0.4,15.55,3885.3,3900.84,39.01,35.7,1300.1,11589.5,11.0,287.8,298.0,35.5,508.7,236.7,3.4,167.2,114.5,366,15.44,9279.25,800.53,89.35,698.04,11.23,0.07,0.46,52724.63
50,Mopeia,7555.5,,196.3,243.85,127.32,211.99,0.12,5.52,LV,MC de Lua Lua,Solar,94.47,70.03,0.0,-0.24,44.15,0.22,Zambezia,Mopeia,1090860.87,24.7,251-1000,Mozambique,97.04,Rural,Low Density Rural,un-electrified,un-electrified,76.29,1.0,506241,MOZ,-3,MZ1100000081,26875.95,583.56,971.67,636.58,1059.95,636.58,84.33,871.81,4.34,-0.12,1.44,1.47,1.44,5.87,19.64,75.96,No,43.7,12239.0,Yes,Medium Occurrence,1.72,22.73,1296.2,1318.93,13.19,263.2,933.6,8655.4,154.6,155.2,154.6,129.3,533.0,220.4,13.8,172.1,108.6,2605,6.28,6923.18,471.15,105.9,389.49,7.81,0.03,0.37,37646.16
51,Mopeia,7537.25,,190.4,241.3,57.79,96.22,0.15,50.34,LV,MC de Pinda,Solar,32.97,68.74,0.0,-0.25,102.45,0.23,Zambezia,Mopeia,420496.63,24.65,101-250,Mozambique,89.32,Rural,Low Density Rural,un-electrified,un-electrified,145.0,1.0,506625,MOZ,-3,MZ1117000091,30243.48,687.12,1144.11,288.93,481.09,288.93,84.94,817.88,4.32,-0.49,2.36,2.39,0.59,4.94,18.71,122.87,No,31.77,0.0,No,No Occurrence,2.17,67.2,3025.12,3092.31,30.92,713.2,2194.2,21502.2,624.0,2180.0,2139.9,181.9,420.4,142.7,100.2,311.9,218.0,965,15.87,10281.37,842.65,84.34,645.48,53.08,0.04,0.48,57715.04
52,Mopeia,7587.44,,196.3,243.85,205.77,342.62,0.24,1.54,LV,MC de Lua Lua,Solar,97.02,70.03,0.0,-0.24,40.38,0.23,Zambezia,Mopeia,1461792.42,24.79,251-1000,Mozambique,97.04,Rural,Rural,un-electrified,un-electrified,62.38,1.0,507934,MOZ,-3,MZ1117000143,28503.18,703.83,1171.92,1028.85,1713.1,1028.85,84.33,871.81,4.35,0.26,1.39,1.42,1.39,5.93,19.69,71.8,No,39.71,12206.0,Yes,Medium Occurrence,0.78,8.02,1024.87,1032.89,10.33,239.3,46.4,457.6,148.3,98.6,98.2,77.0,30.7,13.1,8.4,48.1,32.7,4999,3.95,4107.45,258.29,68.0,214.37,3.92,0.01,0.21,23843.17
53,Mopeia,7628.5,,197.3,245.35,70.61,117.57,0.12,14.23,LV,MC da Ilha Idugo,Solar,107.19,71.63,0.0,-0.3,29.93,0.21,Zambezia,Mopeia,563477.57,24.9,101-250,Mozambique,104.27,Rural,Low Density Rural,un-electrified,un-electrified,27.8,1.0,508461,MOZ,-3,MZ1117000129,29974.72,626.55,1043.25,353.05,587.85,353.05,82.5,892.38,4.31,-0.42,3.26,3.29,3.26,7.99,21.76,49.42,No,23.67,11374.0,Yes,Medium Occurrence,0.06,7.82,14147.64,14155.46,141.55,,608.6,5432.2,,163.1,168.8,,226.6,105.2,,81.2,55.5,156,27.88,17711.22,1639.59,202.84,1122.52,22.22,0.11,0.81,104788.81
54,Mopeia,7628.5,,199.1,247.65,110.53,184.04,0.15,13.48,LV,MC da Ilha Idugo,Solar,90.44,70.65,0.0,-0.29,45.92,0.21,Zambezia,Mopeia,827384.14,24.9,251-1000,Mozambique,100.46,Rural,Low Density Rural,un-electrified,un-electrified,32.0,1.0,508541,MOZ,-3,MZ1117400740,13028.6,667.94,1112.17,552.64,920.19,552.64,83.3,852.52,4.32,-0.67,2.08,2.11,2.07,6.42,20.19,64.33,No,32.86,44611.0,Yes,Medium Occurrence,0.15,2.15,1464.95,1467.1,14.67,,,,,,,,,,,,,1350,8.99,8589.34,824.16,140.67,522.55,10.89,0.06,0.39,51292.31
55,Mopeia,7701.5,,209.5,256.55,82.59,137.53,0.08,37.77,LV,MC de Nhamassonge,Solar,74.72,69.32,0.0,-0.31,81.99,0.23,Zambezia,Mopeia,644792.98,25.1,251-1000,Mozambique,99.74,Rural,Low Density Rural,un-electrified,un-electrified,11.5,1.0,510322,MOZ,-3,MZ1117400792,29635.13,640.48,1066.44,412.97,687.63,412.97,83.27,795.81,4.29,-0.41,3.81,1.89,0.95,6.65,20.41,67.51,No,17.41,146613.0,Yes,Medium Occurrence,0.18,133.52,73495.83,73629.35,736.29,828.0,4159.7,32189.8,413.0,2526.7,2777.6,439.2,1518.2,711.3,42.4,937.8,671.3,216,60.44,39096.72,3340.78,646.32,3130.26,54.23,0.29,2.99,275329.55
56,Mopeia,7540.9,,196.3,243.85,41.64,69.33,0.14,17.13,LV,MC de Lua Lua,Solar,81.53,70.03,0.0,-0.24,55.44,0.21,Zambezia,Mopeia,375165.41,24.66,101-250,Mozambique,97.04,Rural,Low Density Rural,un-electrified,un-electrified,91.2,1.0,511297,MOZ,-3,MZ1117000100,24921.01,554.93,924.0,208.19,346.65,208.19,84.33,871.81,4.33,-0.46,1.61,1.64,1.34,5.69,19.46,83.69,No,53.68,3138.0,Yes,Low Occurrence,0.13,28.33,22362.1,22390.43,223.9,125.5,887.2,8197.8,47.2,56.6,56.4,95.0,502.3,207.3,9.0,124.0,75.9,318,16.7,15750.99,1364.65,260.01,896.15,22.11,0.08,0.73,95203.64
57,Mopeia,7683.25,,210.35,258.0,108.66,180.93,0.03,46.72,LV,MC de Nhamassonge,Solar,46.85,68.63,0.0,-0.29,94.43,0.21,Zambezia,Mopeia,746377.92,25.05,101-250,Mozambique,94.55,Rural,Low Density Rural,un-electrified,un-electrified,30.5,1.0,511780,MOZ,-3,MZ1117000075,36930.5,727.94,1212.07,543.31,904.66,543.31,84.3,722.35,4.31,-0.4,3.24,2.72,1.53,5.88,19.65,95.11,No,15.98,122761.0,Yes,Medium Occurrence,0.23,111.46,48704.12,48815.58,488.16,759.3,577.7,5156.2,536.8,193.0,212.4,215.2,200.8,93.5,39.7,74.8,50.8,315,28.94,25492.02,2370.81,437.93,1572.64,33.62,0.15,1.23,161529.89
58,Mopeia,7701.5,,209.5,256.55,36.25,60.36,0.07,34.56,LV,MC de Nhamassonge,Solar,74.72,69.32,0.0,-0.31,84.93,0.67,Zambezia,Mopeia,343321.93,25.1,101-250,Mozambique,99.74,Rural,Low Density Rural,un-electrified,un-electrified,12.8,1.0,512559,MOZ,-3,MZ1117400857,32694.76,527.91,879.01,181.24,301.78,181.24,83.27,795.81,4.3,-0.12,3.74,1.83,0.89,6.61,20.38,65.77,No,19.19,127656.0,Yes,Medium Occurrence,1.48,395.8,26267.72,26663.52,266.64,2007.8,5164.6,27183.6,1217.5,2825.8,2907.8,671.6,2125.3,996.9,77.4,1093.5,786.4,424,399.66,32488.01,2456.14,513.61,2474.13,61.66,0.23,2.6,924538.67
59,Mopeia,7701.5,,210.35,258.0,44.64,74.33,0.05,43.8,LV,MC de Nhamassonge,Solar,46.51,68.63,0.0,-0.29,96.71,0.2,Zambezia,Mopeia,323464.0,25.1,101-250,Mozambique,92.55,Rural,Low Density Rural,un-electrified,un-electrified,28.0,1.0,512824,MOZ,-3,MZ1117000065,39538.2,690.0,1148.91,223.19,371.63,223.19,84.3,722.35,4.31,-0.56,3.4,2.75,1.55,5.91,19.68,93.7,No,13.01,207603.0,Yes,Medium Occurrence,0.39,25.75,6648.08,6673.82,66.74,511.9,1905.8,17314.6,356.8,266.8,293.6,153.2,1001.3,464.3,26.9,272.7,180.5,493,15.93,14472.69,1142.0,219.68,872.42,17.61,0.09,0.87,84149.83
60,Mopeia,7701.5,,210.35,258.0,87.01,144.87,0.04,31.1,LV,MC de Nhamassonge,Solar,51.71,68.63,0.0,-0.29,102.5,0.25,Zambezia,Mopeia,589780.83,25.1,101-250,Mozambique,95.61,Rural,Low Density Rural,un-electrified,un-electrified,18.17,1.0,512884,MOZ,-3,MZ1117000053,58348.25,737.62,1228.19,435.04,724.37,435.04,84.3,722.35,4.36,-0.43,3.96,2.67,1.51,6.26,20.02,84.81,No,5.72,2025449.0,Yes,Medium Occurrence,4.43,906.89,19557.15,20464.04,204.64,1864.4,8191.0,59112.1,1820.9,2926.8,3140.6,578.8,3924.6,1826.3,162.4,1210.3,840.1,198,662.7,28266.17,2283.93,777.45,1920.9,86.26,0.33,2.02,1512632.35
61,Nicoadala,7555.5,0.2,193.5,241.15,66.81,111.24,0.13,12.22,LV,MC de Lua Lua,Solar,109.84,71.43,0.0,-0.25,26.64,0.21,,,1166893.9,24.7,251-1000,Mozambique,100.75,Rural,Rural,un-electrified,un-electrified,65.0,,512919,MOZ,-2,MZ1122000059,26525.72,286.26,476.64,334.03,556.19,334.03,83.72,932.07,4.33,-0.41,1.22,1.25,1.22,6.11,19.87,60.03,No,26.36,1.0,Yes,Low Occurrence,0.07,3.12,4611.95,4615.07,46.15,211.5,,,90.5,,,218.5,,,13.3,,,296,159.32,8456.1,879.86,204.0,535.03,21.57,0.04,0.53,367630.21
62,Mopeia,7524.21,,196.3,243.85,122.5,203.97,0.3,1.36,LV,MC de Lua Lua,Solar,99.61,70.03,0.0,-0.24,37.51,0.21,Zambezia,Mopeia,1010311.56,24.61,251-1000,Mozambique,97.04,Rural,Rural,un-electrified,un-electrified,89.71,1.0,512991,MOZ,-3,MZ1117000141,29306.23,606.25,1009.44,612.5,1019.85,612.5,84.33,871.81,4.35,-0.42,1.35,1.38,1.35,5.97,19.74,69.21,No,36.87,9790.0,Yes,Medium Occurrence,0.04,1.08,2736.07,2737.15,27.37,239.3,46.4,457.6,148.3,98.6,98.2,71.4,30.7,13.1,7.6,48.1,32.7,8500,5.61,6220.24,460.88,96.16,337.13,6.54,0.02,0.31,33900.5
63,Mopeia,7701.5,,210.35,258.0,2383.79,3969.19,1.0,40.74,LV,MC de Nhamassonge,Solar,38.09,68.63,0.0,-0.29,109.62,0.76,Zambezia,Mopeia,7163288.96,25.1,1001 and up,Mozambique,94.08,Urban Cluster,Semi-dense Urban Cluster,un-electrified,un-electrified,28.64,1.0,513337,MOZ,-3,MZ1117000001,56327.05,1663.9,2770.51,11918.97,19845.96,11918.97,84.3,722.35,4.36,0.03,3.25,2.41,1.12,5.48,19.25,98.26,No,3.4,2326807.0,Yes,High Occurrence,13.23,1342.01,8798.29,10140.3,101.4,971.3,4727.0,27757.5,1159.2,635.3,685.4,544.1,2871.4,1387.2,131.4,746.9,511.9,1048,54.21,20406.54,1671.37,580.8,1344.02,50.3,0.25,1.27,246330.71
64,Mopeia,7628.5,,197.3,245.35,144.75,241.03,0.25,17.59,LV,MC de Nguawala,Solar,125.71,71.63,0.0,-0.3,18.17,0.23,Zambezia,Mopeia,822137.63,24.9,101-250,Mozambique,104.27,Rural,Low Density Rural,un-electrified,un-electrified,10.6,1.0,602105,MOZ,-3,MZ1117000126,24775.63,880.35,1465.85,723.77,1205.13,723.77,82.5,892.38,4.34,-0.48,3.03,3.06,3.03,7.48,21.25,32.09,No,8.23,164422.0,Yes,Medium Occurrence,0.75,112.53,14840.38,14952.91,149.53,38.6,3161.8,23432.0,11.2,489.6,403.6,89.6,1410.8,656.4,9.3,430.0,297.7,1199,118.28,10727.28,977.69,199.08,977.15,22.64,0.1,0.72,284722.45
65,Inhassunge,7701.5,,120.6,187.2,31.41,52.3,0.04,45.98,LV,MC da Ilha Idugo,Solar,139.98,75.59,0.0,-0.34,30.37,0.21,,,1694012.22,25.1,251-1000,Mozambique,111.44,Rural,Rural,un-electrified,un-electrified,12.0,1.0,612786,MOZ,-2,MZ1108400243,35725.54,92.71,154.37,157.05,261.5,157.05,81.58,830.68,4.39,-0.22,0.89,0.53,0.84,8.01,21.92,16.31,No,8.73,275267.0,Yes,Medium Occurrence,0.11,43.61,38558.39,38602.01,386.02,0.1,2642.0,9594.9,0.0,639.6,416.2,20.0,5469.9,2572.1,2.4,393.3,278.6,1,1217.55,28701.01,2421.99,1222.34,2583.71,124.59,0.22,1.62,2726911.8
